,id,prediction,pred_score,conversation_id,root,speaker,text,turnNumber,politeness_label,politeness_label_name,annotation_status
215278,acs-c2b15a82-98f8-4b35-bbdf-295ecdf26f95,1,0.9914723460929464,acs-0d1a3c33-264a-41ed-a820-9f86663a23f6-2,acs-0d1a3c33-264a-41ed-a820-9f86663a23f6-2,agent,"Thank you for sharing the required information, please stay connected while I go ahead and check with the department. ",9,3,polite,annotated
215279,acs-bfef8aa8-e1ca-456e-ac36-592804752a74,1,0.9914723460929464,acs-1fe03869-8ea0-44a7-827a-9154fc3417b2-1,acs-1fe03869-8ea0-44a7-827a-9154fc3417b2-1,agent,"Thank you for sharing the information, please allow me a moment while I check with the department. ",7,2,somewhat_polite,annotated
215280,acs-bfef8aa8-e1ca-456e-ac36-592804752a74,1,0.9914723460929464,acs-1fe03869-8ea0-44a7-827a-9154fc3417b2-2,acs-1fe03869-8ea0-44a7-827a-9154fc3417b2-2,agent,"Thank you for sharing the information, please allow me a moment while I check with the department. ",7,2,somewhat_polite,annotated
215281,acs-8a3591a0-2a30-4080-86ab-057706089471,1,0.9914723460929464,acs-00f91fa5-2496-41fe-8a91-d51635de553f-1,acs-00f91fa5-2496-41fe-8a91-d51635de553f-1,agent,"Thank you for sharing the required information, please stay connected while I go ahead and do the needful.",7,3,polite,annotated
215282,acs-8a3591a0-2a30-4080-86ab-057706089471,1,0.9914723460929464,acs-00f91fa5-2496-41fe-8a91-d51635de553f-2,acs-00f91fa5-2496-41fe-8a91-d51635de553f-2,agent,"Thank you for sharing the required information, please stay connected while I go ahead and do the needful.",7,3,polite,annotated
215283,acs-413eeea5-8895-46d1-a583-e64c1efe2a7a,1,0.9914723460929464,acs-40baad4d-4e58-409f-b5c4-1bd2f8b5431e-1,acs-40baad4d-4e58-409f-b5c4-1bd2f8b5431e-1,agent,"Thank you so much for your information, please allow me a moment while I go ahead and do the needful.",6,3,polite,annotated
215284,acs-413eeea5-8895-46d1-a583-e64c1efe2a7a,1,0.9914723460929464,acs-40baad4d-4e58-409f-b5c4-1bd2f8b5431e-2,acs-40baad4d-4e58-409f-b5c4-1bd2f8b5431e-2,agent,"Thank you so much for your information, please allow me a moment while I go ahead and do the needful.",6,3,polite,annotated
215285,acs-90cfb0b6-f702-4ef0-af46-ec8bcb18a371,1,0.9914723460929464,acs-969ce958-1093-4d9f-8443-786dced828d1-1,acs-969ce958-1093-4d9f-8443-786dced828d1-1,agent,"Thank you for sharing all the information, please stay connected while I go ahead and do the needful.",7,3,polite,annotated
215286,acs-90cfb0b6-f702-4ef0-af46-ec8bcb18a371,1,0.9914723460929464,acs-969ce958-1093-4d9f-8443-786dced828d1-2,acs-969ce958-1093-4d9f-8443-786dced828d1-2,agent,"Thank you for sharing all the information, please stay connected while I go ahead and do the needful.",7,3,polite,annotated
215287,acs-f059edd3-b9ab-4151-bf6f-c0f1603e7a68,1,0.9914723460929464,acs-2fa56004-515e-49f7-a679-1d618d1702a8-1,acs-2fa56004-515e-49f7-a679-1d618d1702a8-1,agent,"Thank you for sharing the information, please allow me a moment while I check with the department. ",8,2,somewhat_polite,annotated
215288,acs-f059edd3-b9ab-4151-bf6f-c0f1603e7a68,1,0.9914723460929464,acs-2fa56004-515e-49f7-a679-1d618d1702a8-2,acs-2fa56004-515e-49f7-a679-1d618d1702a8-2,agent,"Thank you for sharing the information, please allow me a moment while I check with the department. ",8,2,somewhat_polite,annotated
215289,acs-b2cfe6ae-1136-412f-a1e7-27de8435d0ab,1,0.9914723460929464,acs-726b31bf-2bfa-4d90-9ffa-e4a9d80f1aa1-1,acs-726b31bf-2bfa-4d90-9ffa-e4a9d80f1aa1-1,agent,"Thank you for sharing the information, please allow me a moment while I check with the department. ",7,2,somewhat_polite,annotated
215290,acs-b2cfe6ae-1136-412f-a1e7-27de8435d0ab,1,0.9914723460929464,acs-726b31bf-2bfa-4d90-9ffa-e4a9d80f1aa1-2,acs-726b31bf-2bfa-4d90-9ffa-e4a9d80f1aa1-2,agent,"Thank you for sharing the information, please allow me a moment while I check with the department. ",7,2,somewhat_polite,annotated
215291,acs-a317a9c8-df99-4100-b207-3adef13d3519,1,0.9914723460929464,acs-ee67b1e2-b68c-4dc7-b429-509b5a34e99b-1,acs-ee67b1e2-b68c-4dc7-b429-509b5a34e99b-1,agent,"Perfect! Thank you for the information, Please allow me a moment, I'll be back with the details.",9,3,polite,annotated
